time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,6.2592,391200
3,6.624,805200
3.5,6.7008,1224000
4,6.4896,1629600
4.5,6.5664,2040000
5,6.528,2448000
5.5,6.624,2862000
6,6.6432,3277200
6.5,6.5088,3684000
7,6.5664,4094400
7.5,6.624,4508400
8,6.6816,4926000
8.5,6.6048,5338800
9,6.5856,5750400
9.5,6.6816,6168000
10,6.624,6582000
10.5,6.6432,6997200
11,6.6048,7410000
11.5,6.6048,7822800
12,6.6432,8238000
12.5,6.6432,8653200
13,6.624,9067200
13.5,6.6624,9483600
14,6.6048,9896400
14.5,6.6816,10314000
15,6.528,10722000
15.5,6.7584,11144400
16,4.6464,11434800
16.5,5.2032,11760000
17,6.432,12162000
17.5,6.6432,12577200
18,6.5856,12988800
18.5,6.7008,13407600
19,6.5664,13818000
19.5,6.6816,14235600
