time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,0.2112,13200
3,0.2304,27600
3.5,5.5488,374400
4,6.5472,783600
4.5,6.6816,1201200
5,6.5664,1611600
5.5,6.624,2025600
6,6.5664,2436000
6.5,6.5856,2847600
7,6.5472,3256800
7.5,6.624,3670800
8,6.6816,4088400
8.5,6.4896,4494000
9,6.5472,4903200
9.5,6.6816,5320800
10,6.5472,5730000
10.5,6.6432,6145200
11,6.6624,6561600
11.5,6.624,6975600
12,6.72,7395600
12.5,6.6048,7808400
13,6.72,8228400
13.5,6.6432,8643600
14,6.5472,9052800
14.5,6.5856,9464400
15,6.6432,9879600
15.5,6.6048,10292400
16,6.5472,10701600
16.5,5.8944,11070000
17,0.4416,11097600
17.5,5.3568,11432400
18,6.6048,11845200
18.5,6.624,12259200
19,6.6816,12676800
19.5,6.5664,13087200
