time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,1.6896,105600
3,0.4416,133200
3.5,5.7984,495600
4,6.5664,906000
4.5,6.6048,1318800
5,6.6624,1735200
5.5,6.624,2149200
6,6.5472,2558400
6.5,6.5664,2968800
7,6.5856,3380400
7.5,6.5472,3789600
8,6.5856,4201200
8.5,6.72,4621200
9,6.5856,5032800
9.5,6.6048,5445600
10,6.5664,5856000
10.5,6.6432,6271200
11,6.6048,6684000
11.5,6.6624,7100400
12,6.6624,7516800
12.5,6.6816,7934400
13,6.6048,8347200
13.5,6.6432,8762400
14,6.6048,9175200
14.5,6.5856,9586800
15,6.5856,9998400
15.5,6.6048,10411200
16,6.5856,10822800
16.5,6.5856,11234400
17,6.6432,11649600
17.5,6.7008,12068400
18,6.6816,12486000
18.5,6.528,12894000
19,6.6432,13309200
19.5,6.6432,13724400
