time_s,seq,rtt_ms
2.04911,0,49
2.31793,1,117
2.55233,2,152
2.95597,4,155
3.15203,5,152
3.35034,6,150
3.5561,7,156
3.95499,9,154
4.16726,10,167
4.34893,11,148
4.54831,12,148
4.75105,13,151
4.94999,14,149
5.14657,15,146
5.36734,16,167
5.55615,17,156
5.7511,18,151
5.95027,19,150
6.15042,20,150
6.55517,22,155
6.75126,23,151
6.9585,24,158
7.16387,25,163
7.39677,26,196
8.15486,30,154
8.39033,31,190
8.59586,32,195
8.8123,33,212
8.96669,34,166
9.15832,35,158
9.34525,36,145
9.54734,37,147
9.75269,38,152
9.95114,39,151
10.1493,40,149
10.3513,41,151
10.5488,42,148
10.7461,43,146
10.947,44,146
11.1505,45,150
11.3592,46,159
11.5462,47,146
11.7567,48,156
11.9469,49,146
12.1485,50,148
12.3489,51,148
12.5488,52,148
12.748,53,147
12.9496,54,149
13.1503,55,150
13.3538,56,153
13.5466,57,146
13.7489,58,148
13.9477,59,147
14.1482,60,148
14.3453,61,145
14.5479,62,147
14.7497,63,149
14.9461,64,146
15.1452,65,145
15.8764,69,76
16.3452,71,145
16.5469,72,146
16.7531,73,153
16.9504,74,150
17.1471,75,147
17.3499,76,149
17.5484,77,148
17.7526,78,152
17.9507,79,150
18.1484,80,148
18.345,81,144
18.5466,82,146
18.7456,83,145
18.9491,84,149
19.1509,85,150
19.3482,86,148
19.5899,87,189
19.7479,88,147
19.9535,89,153
