time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,5.1456,321600
3,6.5856,733200
3.5,6.6816,1150800
4,6.5856,1562400
4.5,6.6816,1980000
5,6.6432,2395200
5.5,6.5664,2805600
6,6.6048,3218400
6.5,6.6432,3633600
7,6.6048,4046400
7.5,6.6048,4459200
8,6.4896,4864800
8.5,6.6048,5277600
9,0.7488,5324400
9.5,5.4912,5667600
10,6.5088,6074400
10.5,6.624,6488400
11,6.6048,6901200
11.5,6.6048,7314000
12,6.6048,7726800
12.5,6.6432,8142000
13,6.624,8556000
13.5,6.5856,8967600
14,6.5856,9379200
14.5,6.6624,9795600
15,6.5856,10207200
15.5,6.6048,10620000
16,6.6048,11032800
16.5,6.5472,11442000
17,6.624,11856000
17.5,6.5856,12267600
18,6.6816,12685200
18.5,6.6624,13101600
19,6.528,13509600
19.5,6.624,13923600
