time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,6.2976,393600
3,6.624,807600
3.5,6.528,1215600
4,6.528,1623600
4.5,6.5856,2035200
5,6.624,2449200
5.5,6.6048,2862000
6,6.4896,3267600
6.5,6.624,3681600
7,6.4896,4087200
7.5,6.5664,4497600
8,6.624,4911600
8.5,6.6624,5328000
9,6.6048,5740800
9.5,6.6432,6156000
10,6.3936,6555600
10.5,4.9344,6864000
11,6.6624,7280400
11.5,6.624,7694400
12,6.6624,8110800
12.5,6.6624,8527200
13,6.5472,8936400
13.5,6.6816,9354000
14,1.248,9432000
14.5,0.1344,9440400
15,0.288,9458400
15.5,5.5872,9807600
16,6.5856,10219200
16.5,6.72,10639200
17,6.5472,11048400
17.5,6.528,11456400
18,6.5856,11868000
18.5,6.624,12282000
19,6.6432,12697200
19.5,6.6432,13112400
