time_s,throughput_bps,sumRxBytes
3.000000,0.000,0
3.500000,27539072.000,1721192
4.000000,28856576.000,3524728
4.500000,31885568.000,5517576
5.000000,32057088.000,7521144
5.500000,31491072.000,9489336
6.000000,32202880.000,11502016
6.500000,30744960.000,13423576
7.000000,28338304.000,15194720
7.500000,32966144.000,17255104
8.000000,31542528.000,19226512
8.500000,31285248.000,21181840
9.000000,30401920.000,23081960
9.500000,28729600.000,24877560
10.000000,34083584.000,27007784
10.500000,31645440.000,28985624
11.000000,32057088.000,30989192
11.500000,31336704.000,32947736
12.000000,31825536.000,34936832
12.500000,31799808.000,36924320
13.000000,29973120.000,38797640
13.500000,30727808.000,40718128
14.000000,33841024.000,42833192
14.500000,30770688.000,44756360
15.000000,31525376.000,46726696
15.500000,31816960.000,48715256
16.000000,32091392.000,50720968
16.500000,31979904.000,52719712
17.000000,31036544.000,54659496
17.500000,31113728.000,56604104
18.000000,31937024.000,58600168
18.500000,31937024.000,60596232
19.000000,31988480.000,62595512
19.500000,31302400.000,64551912
