time_s,throughput_bps,sumRxBytes
3.000000,0.000,0
3.500000,26745600.000,1671600
4.000000,33542400.000,3768000
4.500000,33446400.000,5858400
5.000000,40320000.000,8378400
5.500000,27936000.000,10124400
6.000000,40377600.000,12648000
6.500000,38419200.000,15049200
7.000000,44659200.000,17840400
7.500000,44774400.000,20638800
8.000000,48537600.000,23672400
8.500000,45696000.000,26528400
9.000000,43737600.000,29262000
9.500000,40646400.000,31802400
10.000000,46617600.000,34716000
10.500000,44140800.000,37474800
11.000000,42662400.000,40141200
11.500000,44851200.000,42944400
12.000000,43315200.000,45651600
12.500000,44697600.000,48445200
13.000000,44428800.000,51222000
13.500000,46694400.000,54140400
14.000000,48076800.000,57145200
14.500000,46252800.000,60036000
15.000000,46982400.000,62972400
15.500000,44448000.000,65750400
16.000000,44870400.000,68554800
16.500000,46195200.000,71442000
17.000000,43603200.000,74167200
17.500000,43891200.000,76910400
18.000000,43161600.000,79608000
18.500000,46790400.000,82532400
19.000000,48787200.000,85581600
19.500000,48806400.000,88632000
