staId,rxBytes,goodputbps
0,10416000,4901647.059
1,10722000,5045647.059
2,6120000,2880000.000
3,7275600,3423811.765
4,0,0.000
5,11337600,5335341.176
6,4554000,2143058.824
7,13622400,6410541.176
8,12476400,5871247.059
9,7860000,3698823.529
