time_s,throughput_bps,sumRxBytes
3.000000,0.000,0
3.500000,18681600.000,1167600
4.000000,31718400.000,3150000
4.500000,36019200.000,5401200
5.000000,32006400.000,7401600
5.500000,30758400.000,9324000
6.000000,33100800.000,11392800
6.500000,43084800.000,14085600
7.000000,41318400.000,16668000
7.500000,41260800.000,19246800
8.000000,38188800.000,21633600
8.500000,41452800.000,24224400
9.000000,40108800.000,26731200
9.500000,45600000.000,29581200
10.000000,41241600.000,32158800
10.500000,43449600.000,34874400
11.000000,40819200.000,37425600
11.500000,37036800.000,39740400
12.000000,43987200.000,42489600
12.500000,43008000.000,45177600
13.000000,46368000.000,48075600
13.500000,42297600.000,50719200
14.000000,37804800.000,53082000
14.500000,37497600.000,55425600
15.000000,39878400.000,57918000
15.500000,37344000.000,60252000
16.000000,48057600.000,63255600
16.500000,41164800.000,65828400
17.000000,45907200.000,68697600
17.500000,41376000.000,71283600
18.000000,36134400.000,73542000
18.500000,40838400.000,76094400
19.000000,43392000.000,78806400
19.500000,44755200.000,81603600
