staId,rxBytes,goodputbps
0,4845976,2280459.294
1,7358560,3462851.765
2,6742120,3172762.353
3,8678248,4083881.412
4,5450584,2564980.706
5,7813768,3677067.294
6,6249520,2940950.588
7,5553888,2613594.353
8,8135416,3828431.059
9,3777728,1777754.353
