time_s,throughput_bps,sumRxBytes
3.000000,0.000,0
3.500000,27343488.000,1708968
4.000000,30325120.000,3604288
4.500000,30455296.000,5507744
5.000000,26441600.000,7160344
5.500000,29393664.000,8997448
6.000000,29930240.000,10868088
6.500000,28167552.000,12628560
7.000000,30561664.000,14538664
7.500000,28689152.000,16331736
8.000000,28744576.000,18128272
8.500000,29340416.000,19962048
9.000000,29252736.000,21790344
9.500000,32945024.000,23849408
10.000000,29861632.000,25715760
10.500000,30856448.000,27644288
11.000000,29046912.000,29459720
11.500000,27906304.000,31203864
12.000000,30659200.000,33120064
12.500000,34836224.000,35297328
13.000000,27872000.000,37039328
13.500000,32828928.000,39091136
14.000000,30530560.000,40999296
14.500000,32022784.000,43000720
15.000000,31782656.000,44987136
15.500000,32211456.000,47000352
16.000000,32168576.000,49010888
16.500000,28823936.000,50812384
17.000000,31688320.000,52792904
17.500000,31705472.000,54774496
18.000000,31791232.000,56761448
18.500000,31165184.000,58709272
19.000000,31705472.000,60690864
19.500000,30607744.000,62603848
