time_s,throughput_bps,rxBytes_total
2.000000,0.000000,0
2.500000,0.000000,0
3.000000,0.000000,0
3.500000,0.000000,0
4.000000,0.000000,0
4.500000,0.000000,0
5.000000,0.000000,0
5.500000,0.000000,0
6.000000,0.000000,0
6.500000,0.000000,0
7.000000,0.000000,0
7.500000,0.000000,0
8.000000,0.000000,0
8.500000,0.000000,0
9.000000,0.000000,0
9.500000,0.000000,0
10.000000,0.000000,0
10.500000,0.000000,0
11.000000,0.000000,0
11.500000,0.000000,0
12.000000,0.000000,0
12.500000,0.000000,0
13.000000,0.000000,0
13.500000,0.000000,0
14.000000,0.000000,0
14.500000,0.000000,0
15.000000,0.000000,0
15.500000,0.000000,0
16.000000,0.000000,0
16.500000,0.000000,0
17.000000,0.000000,0
17.500000,0.000000,0
18.000000,0.000000,0
18.500000,0.000000,0
19.000000,0.000000,0
19.500000,0.000000,0
20.000000,0.000000,0
20.500000,0.000000,0
21.000000,0.000000,0
21.500000,0.000000,0
22.000000,0.000000,0
22.500000,0.000000,0
23.000000,0.000000,0
23.500000,0.000000,0
24.000000,0.000000,0
24.500000,0.000000,0
25.000000,0.000000,0
25.500000,0.000000,0
26.000000,0.000000,0
26.500000,0.000000,0
27.000000,0.000000,0
27.500000,0.000000,0
28.000000,0.000000,0
28.500000,0.000000,0
29.000000,0.000000,0
29.500000,0.000000,0
30.000000,0.000000,0
30.500000,0.000000,0
31.000000,0.000000,0
31.500000,0.000000,0
32.000000,0.000000,0
32.500000,0.000000,0
33.000000,0.000000,0
33.500000,0.000000,0
34.000000,0.000000,0
34.500000,0.000000,0
35.000000,0.000000,0
35.500000,0.000000,0
36.000000,0.000000,0
36.500000,0.000000,0
37.000000,0.000000,0
37.500000,0.000000,0
38.000000,0.000000,0
38.500000,0.000000,0
39.000000,0.000000,0
39.500000,0.000000,0
2.000000,0.000000,0
2.500000,0.000000,0
3.000000,0.000000,0
3.500000,0.000000,0
4.000000,0.000000,0
4.500000,0.000000,0
5.000000,0.000000,0
5.500000,0.000000,0
6.000000,0.000000,0
6.500000,0.000000,0
7.000000,0.000000,0
7.500000,0.000000,0
8.000000,0.000000,0
8.500000,0.000000,0
9.000000,0.000000,0
9.500000,0.000000,0
10.000000,0.000000,0
10.500000,0.000000,0
11.000000,0.000000,0
11.500000,0.000000,0
12.000000,0.000000,0
12.500000,0.000000,0
13.000000,0.000000,0
13.500000,0.000000,0
14.000000,0.000000,0
14.500000,0.000000,0
15.000000,0.000000,0
15.500000,0.000000,0
16.000000,0.000000,0
16.500000,0.000000,0
17.000000,0.000000,0
17.500000,0.000000,0
18.000000,0.000000,0
18.500000,0.000000,0
19.000000,0.000000,0
19.500000,0.000000,0
2.000000,0.000000,0
2.500000,0.000000,0
3.000000,0.000000,0
3.500000,0.000000,0
4.000000,0.000000,0
4.500000,0.000000,0
5.000000,0.000000,0
5.500000,0.000000,0
6.000000,0.000000,0
6.500000,0.000000,0
7.000000,0.000000,0
7.500000,0.000000,0
8.000000,0.000000,0
8.500000,0.000000,0
9.000000,0.000000,0
9.500000,0.000000,0
10.000000,0.000000,0
10.500000,0.000000,0
11.000000,0.000000,0
11.500000,0.000000,0
12.000000,0.000000,0
12.500000,0.000000,0
13.000000,0.000000,0
13.500000,0.000000,0
14.000000,0.000000,0
14.500000,0.000000,0
15.000000,0.000000,0
15.500000,0.000000,0
16.000000,0.000000,0
16.500000,0.000000,0
17.000000,0.000000,0
17.500000,0.000000,0
18.000000,0.000000,0
18.500000,0.000000,0
19.000000,0.000000,0
19.500000,0.000000,0
2.000000,0.000000
2.500000,19660800.000000
3.000000,20006400.000000
3.500000,19987200.000000
4.000000,20006400.000000
4.500000,20006400.000000
5.000000,19987200.000000
5.500000,20006400.000000
6.000000,20006400.000000
6.500000,19987200.000000
7.000000,19987200.000000
7.500000,20025600.000000
8.000000,19987200.000000
8.500000,20006400.000000
9.000000,19987200.000000
9.500000,20006400.000000
10.000000,20006400.000000
10.500000,20006400.000000
11.000000,19987200.000000
11.500000,19987200.000000
12.000000,20025600.000000
12.500000,19948800.000000
13.000000,20044800.000000
13.500000,20006400.000000
14.000000,19987200.000000
14.500000,19987200.000000
15.000000,19948800.000000
15.500000,20044800.000000
16.000000,19737600.000000
16.500000,19910400.000000
17.000000,20083200.000000
17.500000,20006400.000000
18.000000,19948800.000000
18.500000,19200000.000000
19.000000,20006400.000000
19.500000,19987200.000000
2.000000,0.000000
2.500000,19660800.000000
3.000000,20006400.000000
3.500000,19987200.000000
4.000000,20006400.000000
4.500000,20006400.000000
5.000000,19987200.000000
5.500000,20006400.000000
6.000000,20006400.000000
6.500000,19987200.000000
7.000000,19987200.000000
7.500000,20025600.000000
8.000000,19987200.000000
8.500000,20006400.000000
9.000000,19987200.000000
9.500000,20006400.000000
10.000000,20006400.000000
10.500000,20006400.000000
11.000000,19987200.000000
11.500000,19987200.000000
12.000000,20025600.000000
12.500000,19948800.000000
13.000000,20044800.000000
13.500000,20006400.000000
14.000000,19987200.000000
14.500000,19987200.000000
15.000000,19948800.000000
15.500000,20044800.000000
16.000000,19737600.000000
16.500000,19910400.000000
17.000000,20083200.000000
17.500000,20006400.000000
18.000000,19948800.000000
18.500000,19200000.000000
19.000000,20006400.000000
19.500000,19987200.000000
2.000000,0.000000
2.500000,19660800.000000
3.000000,20006400.000000
3.500000,19987200.000000
4.000000,20006400.000000
4.500000,20006400.000000
5.000000,19987200.000000
5.500000,20006400.000000
6.000000,20006400.000000
6.500000,19987200.000000
7.000000,19987200.000000
7.500000,20025600.000000
8.000000,19987200.000000
8.500000,20006400.000000
9.000000,19987200.000000
9.500000,20006400.000000
10.000000,20006400.000000
10.500000,20006400.000000
11.000000,19987200.000000
11.500000,19987200.000000
12.000000,20025600.000000
12.500000,19948800.000000
13.000000,20044800.000000
13.500000,20006400.000000
14.000000,19987200.000000
14.500000,19987200.000000
15.000000,19948800.000000
15.500000,20044800.000000
16.000000,19737600.000000
16.500000,19910400.000000
17.000000,20083200.000000
17.500000,20006400.000000
18.000000,19948800.000000
18.500000,19200000.000000
19.000000,20006400.000000
19.500000,19987200.000000
2.000000,0.000000
2.500000,19641600.000000
3.000000,20006400.000000
3.500000,19987200.000000
4.000000,20006400.000000
4.500000,20006400.000000
5.000000,19987200.000000
5.500000,20006400.000000
6.000000,20006400.000000
6.500000,19987200.000000
7.000000,20006400.000000
7.500000,20006400.000000
8.000000,19987200.000000
8.500000,19987200.000000
9.000000,20006400.000000
9.500000,20006400.000000
10.000000,20006400.000000
10.500000,19910400.000000
11.000000,20064000.000000
11.500000,20025600.000000
12.000000,19987200.000000
12.500000,20006400.000000
13.000000,20006400.000000
13.500000,19987200.000000
14.000000,20006400.000000
14.500000,20006400.000000
15.000000,19968000.000000
15.500000,20025600.000000
16.000000,19968000.000000
16.500000,20044800.000000
17.000000,19987200.000000
17.500000,19968000.000000
18.000000,19660800.000000
18.500000,20121600.000000
19.000000,19852800.000000
19.500000,19795200.000000
2.000000,0.000000
2.500000,19660800.000000
3.000000,20006400.000000
3.500000,19987200.000000
4.000000,20006400.000000
4.500000,20006400.000000
5.000000,19987200.000000
5.500000,20006400.000000
6.000000,20006400.000000
6.500000,19987200.000000
7.000000,19987200.000000
7.500000,20025600.000000
8.000000,19987200.000000
8.500000,20006400.000000
9.000000,19987200.000000
9.500000,20006400.000000
10.000000,20006400.000000
10.500000,20006400.000000
11.000000,19987200.000000
11.500000,19987200.000000
12.000000,20025600.000000
12.500000,19948800.000000
13.000000,20044800.000000
13.500000,20006400.000000
14.000000,19987200.000000
14.500000,19987200.000000
15.000000,19948800.000000
15.500000,20044800.000000
16.000000,19737600.000000
16.500000,19910400.000000
17.000000,20083200.000000
17.500000,20006400.000000
18.000000,19948800.000000
18.500000,19200000.000000
19.000000,20006400.000000
19.500000,19987200.000000
2.000000,0.000000
2.500000,19910400.000000
3.000000,19987200.000000
3.500000,20006400.000000
4.000000,20006400.000000
4.500000,20006400.000000
5.000000,19987200.000000
5.500000,20006400.000000
6.000000,20006400.000000
6.500000,19987200.000000
7.000000,20006400.000000
7.500000,20006400.000000
8.000000,19987200.000000
8.500000,20006400.000000
9.000000,20006400.000000
9.500000,19987200.000000
10.000000,19948800.000000
10.500000,20064000.000000
11.000000,19987200.000000
11.500000,19987200.000000
12.000000,20006400.000000
12.500000,20006400.000000
13.000000,19987200.000000
13.500000,20025600.000000
14.000000,19987200.000000
14.500000,20006400.000000
15.000000,20006400.000000
15.500000,19987200.000000
16.000000,19987200.000000
16.500000,19929600.000000
17.000000,20083200.000000
17.500000,19833600.000000
18.000000,20044800.000000
18.500000,19564800.000000
19.000000,19968000.000000
19.500000,20025600.000000
20.000000,19872000.000000
20.500000,19468800.000000
21.000000,19987200.000000
21.500000,19795200.000000
22.000000,20121600.000000
22.500000,20064000.000000
23.000000,20025600.000000
23.500000,19756800.000000
24.000000,20198400.000000
24.500000,19372800.000000
25.000000,20217600.000000
25.500000,19526400.000000
26.000000,20505600.000000
26.500000,19756800.000000
27.000000,20313600.000000
27.500000,19795200.000000
28.000000,20006400.000000
28.500000,19814400.000000
