time_s,throughput_bps
2.500,129408000.000
3.000,129657600.000
3.500,129638400.000
4.000,129638400.000
4.500,129734400.000
5.000,128659200.000
5.500,129638400.000
6.000,129868800.000
6.500,130003200.000
7.000,129676800.000
7.500,129484800.000
8.000,129696000.000
8.500,129734400.000
9.000,129004800.000
9.500,129734400.000
10.000,129619200.000
10.500,129580800.000
11.000,129734400.000
11.500,129600000.000
12.000,128736000.000
12.500,129811200.000
13.000,129753600.000
13.500,129734400.000
14.000,129619200.000
14.500,129600000.000
15.000,129580800.000
15.500,128697600.000
16.000,129657600.000
16.500,129638400.000
17.000,129561600.000
17.500,129849600.000
18.000,129926400.000
18.500,129542400.000
19.000,129734400.000
19.500,129715200.000
20.000,129657600.000
