time_s,seq,rtt_ms
1.017355,0,17.000
1.500449,1,0.000
2.000452,2,0.000
3.008388,3,508.000
3.552263,4,552.000
4.011719,5,511.000
4.512421,6,512.000
5.016739,7,516.000
5.516840,8,516.000
6.007778,9,507.000
6.517024,10,517.000
7.012872,11,512.000
7.503674,12,503.000
8.008245,13,508.000
8.503892,14,503.000
9.012698,15,512.000
9.513429,16,513.000
10.005302,17,505.000
10.501510,18,501.000
11.005711,19,505.000
11.501757,20,501.000
12.006030,21,506.000
12.501579,22,501.000
13.020521,23,520.000
13.507240,24,507.000
14.006180,25,506.000
14.501785,26,501.000
15.001364,27,501.000
15.501411,28,501.000
16.001413,29,501.000
16.506325,30,506.000
17.005542,31,505.000
17.501867,32,501.000
18.005708,33,505.000
18.506664,34,506.000
19.006639,35,506.000
19.506578,36,506.000
