time_s,seq,rtt_ms
1.017328,0,17.000
1.500370,1,0.000
2.000213,2,0.000
2.529496,3,29.000
3.032601,4,32.000
3.533183,5,33.000
4.036991,6,36.000
4.537021,7,37.000
5.035644,8,35.000
5.533042,9,33.000
6.074872,10,74.000
6.535090,11,35.000
7.032069,12,32.000
7.586098,13,86.000
8.135208,14,135.000
8.533009,15,33.000
9.042969,16,42.000
9.559914,17,59.000
10.042922,18,42.000
10.539084,19,39.000
11.038587,20,38.000
11.543338,21,43.000
12.034903,22,34.000
12.531874,23,31.000
13.035005,24,35.000
13.540053,25,40.000
14.034738,26,34.000
14.536379,27,36.000
15.033579,28,33.000
15.542077,29,42.000
16.037364,30,37.000
16.538896,31,38.000
17.033311,32,33.000
17.539850,33,39.000
18.034164,34,34.000
18.534610,35,34.000
19.034810,36,34.000
19.531919,37,31.000
