time_s,throughput_bps
2.500,151315200.000
3.000,154368000.000
3.500,155673600.000
4.000,152736000.000
4.500,155827200.000
5.000,155059200.000
5.500,154752000.000
6.000,153753600.000
6.500,154214400.000
7.000,153849600.000
7.500,155577600.000
8.000,153696000.000
8.500,155481600.000
9.000,155616000.000
9.500,155692800.000
10.000,155136000.000
10.500,156614400.000
11.000,156384000.000
11.500,155635200.000
12.000,154118400.000
12.500,154867200.000
13.000,156019200.000
13.500,156192000.000
14.000,154329600.000
14.500,156825600.000
15.000,156768000.000
15.500,154406400.000
16.000,156499200.000
16.500,157132800.000
17.000,153254400.000
17.500,155884800.000
18.000,154368000.000
18.500,156768000.000
19.000,153964800.000
19.500,156153600.000
20.000,153235200.000
