time_s,throughput_bps
2.500,10176000.000
3.000,12460800.000
3.500,10694400.000
4.000,12019200.000
4.500,11923200.000
5.000,13843200.000
5.500,12192000.000
6.000,12729600.000
6.500,10809600.000
7.000,12499200.000
7.500,12326400.000
8.000,12556800.000
8.500,11443200.000
9.000,14131200.000
9.500,12307200.000
10.000,11328000.000
10.500,12480000.000
11.000,12806400.000
11.500,13171200.000
12.000,13036800.000
12.500,12364800.000
13.000,10406400.000
13.500,12230400.000
14.000,13113600.000
14.500,11846400.000
15.000,12595200.000
15.500,12172800.000
16.000,12672000.000
16.500,11520000.000
17.000,12787200.000
17.500,10905600.000
18.000,12038400.000
18.500,13094400.000
19.000,10464000.000
19.500,12787200.000
20.000,12345600.000
