time_s,seq,rtt_ms
1.023024,0,23.000
1.500374,1,0.000
2.000228,2,0.000
2.560318,3,60.000
3.028660,4,28.000
3.537691,5,37.000
4.035261,6,35.000
4.537514,7,37.000
5.029881,8,29.000
5.524993,9,24.000
6.023866,10,23.000
6.524898,11,24.000
7.027543,12,27.000
7.530208,13,30.000
8.028420,14,28.000
8.530368,15,30.000
9.026537,16,26.000
9.526028,17,26.000
10.024628,18,24.000
10.523900,19,23.000
11.029673,20,29.000
11.528090,21,28.000
12.029759,22,29.000
12.529022,23,29.000
13.025813,24,25.000
13.525923,25,25.000
14.025621,26,25.000
14.525980,27,25.000
15.025849,28,25.000
15.527731,29,27.000
16.024408,30,24.000
16.524158,31,24.000
17.025646,32,25.000
17.525416,33,25.000
18.027157,34,27.000
18.524217,35,24.000
19.026064,36,26.000
19.526382,37,26.000
