time_s,throughput_bps
2.500,60902400.000
3.000,135628800.000
3.500,153868800.000
4.000,151084800.000
4.500,152428800.000
5.000,153235200.000
5.500,155270400.000
6.000,188102400.000
6.500,182457600.000
7.000,187276800.000
7.500,187987200.000
8.000,186892800.000
8.500,188985600.000
9.000,189465600.000
9.500,188889600.000
10.000,188985600.000
10.500,189177600.000
11.000,189504000.000
11.500,189484800.000
12.000,187814400.000
12.500,187872000.000
13.000,188889600.000
13.500,188640000.000
14.000,188928000.000
14.500,188486400.000
15.000,188467200.000
15.500,189292800.000
16.000,188985600.000
16.500,189004800.000
17.000,189312000.000
17.500,188947200.000
18.000,189139200.000
18.500,188985600.000
19.000,188947200.000
19.500,188774400.000
20.000,188812800.000
