time_s,seq,rtt_ms
2.02982,0,29
2.30578,1,105
2.54813,2,148
2.75022,3,150
2.94785,4,147
3.14847,5,148
3.34438,6,144
3.54969,7,149
3.75034,8,150
3.94922,9,149
4.1472,10,147
4.34465,11,144
4.54586,12,145
4.74526,13,145
4.94809,14,148
5.14807,15,148
5.34622,16,146
5.54944,17,149
5.74929,18,149
5.94616,19,146
6.1466,20,146
6.34764,21,147
6.55096,22,150
6.74562,23,145
6.94783,24,147
7.14882,25,148
7.34952,26,149
7.54584,27,145
7.75094,28,150
7.95135,29,151
8.14627,30,146
8.34751,31,147
8.54661,32,146
8.74782,33,147
8.94845,34,148
9.14495,35,144
9.34856,36,148
9.54706,37,147
9.74647,38,146
9.94903,39,149
10.1513,40,151
10.3497,41,149
10.5433,42,143
10.7468,43,146
10.9485,44,148
11.15,45,149
11.347,46,146
11.5456,47,145
11.7466,48,146
11.943,49,143
12.1451,50,145
12.3491,51,149
12.5498,52,149
12.7458,53,145
12.9495,54,149
13.1503,55,150
13.3478,56,147
13.5428,57,142
13.7488,58,148
13.9492,59,149
14.1474,60,147
14.3498,61,149
14.5519,62,151
14.7458,63,145
14.9497,64,149
15.148,65,147
15.3482,66,148
15.5462,67,146
15.7469,68,146
15.9444,69,144
16.1481,70,148
16.3508,71,150
16.5486,72,148
16.7445,73,144
16.9482,74,148
17.1482,75,148
17.347,76,146
17.5501,77,150
17.7464,78,146
17.948,79,148
18.1446,80,144
18.3509,81,150
18.5488,82,148
18.745,83,144
18.9457,84,145
19.1468,85,146
19.3509,86,150
19.5495,87,149
19.7483,88,148
19.9465,89,146
