time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,6.4896,405600
3,6.528,813600
3.5,6.6432,1228800
4,6.5472,1638000
4.5,6.6816,2055600
5,6.5856,2467200
5.5,6.6432,2882400
6,6.5088,3289200
6.5,6.6816,3706800
7,6.5664,4117200
7.5,6.5856,4528800
8,6.5472,4938000
8.5,6.6816,5355600
9,6.5664,5766000
9.5,6.5856,6177600
10,6.6048,6590400
10.5,6.624,7004400
11,6.624,7418400
11.5,6.6432,7833600
12,6.7008,8252400
12.5,6.624,8666400
13,6.5856,9078000
13.5,6.624,9492000
14,6.624,9906000
14.5,6.5664,10316400
15,6.5856,10728000
15.5,6.5664,11138400
16,6.6816,11556000
16.5,6.5664,11966400
17,6.6624,12382800
17.5,6.5664,12793200
18,6.5856,13204800
18.5,6.5856,13616400
19,6.624,14030400
19.5,6.5856,14442000
