time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,6.2976,393600
3,6.5856,805200
3.5,6.72,1225200
4,6.5472,1634400
4.5,6.5472,2043600
5,6.5472,2452800
5.5,6.6048,2865600
6,6.6816,3283200
6.5,6.4896,3688800
7,6.5856,4100400
7.5,6.624,4514400
8,6.5856,4926000
8.5,6.624,5340000
9,6.5472,5749200
9.5,6.72,6169200
10,6.624,6583200
10.5,6.6432,6998400
11,6.624,7412400
11.5,6.5856,7824000
12,6.6432,8239200
12.5,6.624,8653200
13,6.5472,9062400
13.5,6.6432,9477600
14,6.5856,9889200
14.5,6.7008,10308000
15,6.5472,10717200
15.5,6.6816,11134800
16,6.5664,11545200
16.5,6.6048,11958000
17,6.5664,12368400
17.5,6.624,12782400
18,6.624,13196400
18.5,6.6624,13612800
19,6.5856,14024400
19.5,6.6048,14437200
