time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,6.3744,398400
3,6.5664,808800
3.5,6.6432,1224000
4,6.6624,1640400
4.5,6.6432,2055600
5,6.5856,2467200
5.5,6.5856,2878800
6,6.6048,3291600
6.5,6.5472,3700800
7,6.5664,4111200
7.5,6.6048,4524000
8,6.5472,4933200
8.5,6.5664,5343600
9,6.5856,5755200
9.5,6.4896,6160800
10,6.528,6568800
10.5,6.5664,6979200
11,6.5472,7388400
11.5,6.624,7802400
12,6.5856,8214000
12.5,6.624,8628000
13,6.5664,9038400
13.5,6.624,9452400
14,6.6432,9867600
14.5,6.5856,10279200
15,6.5472,10688400
15.5,6.6048,11101200
16,6.5472,11510400
16.5,6.6048,11923200
17,6.5856,12334800
17.5,6.624,12748800
18,6.624,13162800
18.5,6.6048,13575600
19,6.6048,13988400
19.5,6.5856,14400000
