time_s,throughput_bps
2.500,310214400.000
3.000,326707200.000
3.500,317452800.000
4.000,320678400.000
4.500,322771200.000
5.000,320332800.000
5.500,321273600.000
6.000,324326400.000
6.500,320947200.000
7.000,323366400.000
7.500,319276800.000
8.000,318124800.000
8.500,326227200.000
9.000,324211200.000
9.500,325248000.000
10.000,325248000.000
10.500,326726400.000
11.000,325728000.000
11.500,322924800.000
12.000,325267200.000
12.500,326092800.000
13.000,325670400.000
13.500,326169600.000
14.000,324499200.000
14.500,326438400.000
15.000,324691200.000
15.500,326131200.000
16.000,325267200.000
16.500,326592000.000
17.000,326688000.000
17.500,325209600.000
18.000,324422400.000
18.500,326611200.000
19.000,325056000.000
19.500,326764800.000
20.000,324633600.000
