time_s,throughput_bps
2.500,54547200.000
3.000,63878400.000
3.500,81964800.000
4.000,87091200.000
4.500,87129600.000
5.000,86496000.000
5.500,87744000.000
6.000,88051200.000
6.500,87264000.000
7.000,83884800.000
7.500,87955200.000
8.000,88089600.000
8.500,87168000.000
9.000,87264000.000
9.500,87936000.000
10.000,88108800.000
10.500,88012800.000
11.000,87628800.000
11.500,86745600.000
12.000,87033600.000
12.500,87148800.000
13.000,87264000.000
13.500,87091200.000
14.000,85747200.000
14.500,88070400.000
15.000,86534400.000
15.500,88051200.000
16.000,87686400.000
16.500,87513600.000
17.000,88243200.000
17.500,87648000.000
18.000,87475200.000
18.500,87513600.000
19.000,87859200.000
19.500,88051200.000
20.000,85958400.000
