time_s,throughput_bps
2.500,254208000.000
3.000,255820800.000
3.500,255993600.000
4.000,256185600.000
4.500,255993600.000
5.000,255916800.000
5.500,255993600.000
6.000,255724800.000
6.500,254860800.000
7.000,256339200.000
7.500,255782400.000
8.000,255091200.000
8.500,255590400.000
9.000,255475200.000
9.500,256550400.000
10.000,255321600.000
10.500,255648000.000
11.000,256204800.000
11.500,256089600.000
12.000,255840000.000
12.500,255820800.000
13.000,256300800.000
13.500,256281600.000
14.000,255590400.000
14.500,254899200.000
15.000,254745600.000
15.500,255724800.000
16.000,256012800.000
16.500,256262400.000
17.000,256262400.000
17.500,256051200.000
18.000,255993600.000
18.500,256128000.000
19.000,255763200.000
19.500,255609600.000
20.000,255955200.000
