time_s,throughput_bps
2.500,108076800.000
3.000,108518400.000
3.500,108576000.000
4.000,108537600.000
4.500,107846400.000
5.000,108000000.000
5.500,108940800.000
6.000,108998400.000
6.500,109036800.000
7.000,108691200.000
7.500,108768000.000
8.000,108806400.000
8.500,108960000.000
9.000,108960000.000
9.500,108921600.000
10.000,108979200.000
10.500,108806400.000
11.000,109017600.000
11.500,108844800.000
12.000,108825600.000
12.500,108940800.000
13.000,108787200.000
13.500,107769600.000
14.000,108864000.000
14.500,108806400.000
15.000,109017600.000
15.500,107500800.000
16.000,108864000.000
16.500,107692800.000
17.000,107462400.000
17.500,108595200.000
18.000,108614400.000
18.500,108595200.000
19.000,108883200.000
19.500,107404800.000
20.000,108787200.000
