time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,6.3936,399600
3,6.6048,812400
3.5,6.5472,1221600
4,6.5856,1633200
4.5,6.5472,2042400
5,6.624,2456400
5.5,6.5856,2868000
6,6.4512,3271200
6.5,6.6048,3684000
7,6.5472,4093200
7.5,6.5664,4503600
8,6.6816,4921200
8.5,6.6432,5336400
9,6.5664,5746800
9.5,6.624,6160800
10,6.624,6574800
10.5,6.5664,6985200
11,6.624,7399200
11.5,6.5856,7810800
12,6.6816,8228400
12.5,6.5664,8638800
13,6.6048,9051600
13.5,6.624,9465600
14,6.6816,9883200
14.5,6.6624,10299600
15,6.6432,10714800
15.5,6.5856,11126400
16,6.528,11534400
16.5,6.624,11948400
17,6.5856,12360000
17.5,6.6048,12772800
18,6.5856,13184400
18.5,6.5856,13596000
19,6.5664,14006400
19.5,6.5472,14415600
