time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,6.3168,394800
3,6.6048,807600
3.5,6.6816,1225200
4,6.5472,1634400
4.5,6.5472,2043600
5,6.5472,2452800
5.5,6.6624,2869200
6,6.624,3283200
6.5,6.5088,3690000
7,6.5856,4101600
7.5,6.624,4515600
8,6.5856,4927200
8.5,6.6048,5340000
9,6.5856,5751600
9.5,6.72,6171600
10,6.624,6585600
10.5,6.6432,7000800
11,6.624,7414800
11.5,6.5856,7826400
12,6.624,8240400
12.5,6.624,8654400
13,6.5664,9064800
13.5,6.6432,9480000
14,6.5856,9891600
14.5,6.7008,10310400
15,6.5472,10719600
15.5,6.6816,11137200
16,6.6048,11550000
16.5,6.6048,11962800
17,6.5856,12374400
17.5,6.6624,12790800
18,6.6048,13203600
18.5,6.7008,13622400
19,6.6048,14035200
19.5,6.6624,14451600
