time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,5.8752,367200
3,6.528,775200
3.5,6.6816,1192800
4,6.6432,1608000
4.5,6.6816,2025600
5,6.528,2433600
5.5,6.5664,2844000
6,6.6432,3259200
6.5,6.528,3667200
7,6.6048,4080000
7.5,6.6048,4492800
8,6.5088,4899600
8.5,6.6624,5316000
9,6.6048,5728800
9.5,6.528,6136800
10,6.5472,6546000
10.5,6.624,6960000
11,6.5664,7370400
11.5,6.6048,7783200
12,6.6432,8198400
12.5,6.6624,8614800
13,6.528,9022800
13.5,6.6432,9438000
14,6.6432,9853200
14.5,6.624,10267200
15,6.5472,10676400
15.5,6.528,11084400
16,6.528,11492400
16.5,6.6048,11905200
17,6.528,12313200
17.5,6.5856,12724800
18,6.6432,13140000
18.5,6.5664,13550400
19,6.5664,13960800
19.5,6.624,14374800
