time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,4.2048,262800
3,6.5664,673200
3.5,6.6432,1088400
4,6.528,1496400
4.5,6.6816,1914000
5,6.6048,2326800
5.5,6.6048,2739600
6,6.5856,3151200
6.5,6.624,3565200
7,6.6432,3980400
7.5,6.528,4388400
8,6.5664,4798800
8.5,6.6816,5216400
9,6.5664,5626800
9.5,6.6432,6042000
10,6.528,6450000
10.5,6.5472,6859200
11,6.6816,7276800
11.5,6.5856,7688400
12,6.6432,8103600
12.5,6.7584,8526000
13,6.4896,8931600
13.5,6.5856,9343200
14,6.7008,9762000
14.5,6.6048,10174800
15,6.528,10582800
15.5,6.528,10990800
16,6.6432,11406000
16.5,6.6048,11818800
17,6.5664,12229200
17.5,6.6816,12646800
18,6.528,13054800
18.5,6.6624,13471200
19,6.5088,13878000
19.5,6.6816,14295600
