time_s,seq,rtt_ms
1.015167,0,15.000
1.500449,1,0.000
2.000452,2,0.000
3.013159,3,513.000
3.513285,4,513.000
4.004436,5,504.000
4.503921,6,503.000
5.008633,7,508.000
5.504623,8,504.000
6.009029,9,509.000
6.505144,10,505.000
7.004946,11,504.000
7.505468,12,505.000
8.009712,13,509.000
8.505036,14,505.000
9.003953,15,503.000
9.512360,16,512.000
10.007801,17,507.000
10.503431,18,503.000
11.008638,19,508.000
11.513710,20,513.000
12.004735,21,504.000
12.508908,22,508.000
13.005508,23,505.000
13.505426,24,505.000
14.005587,25,505.000
14.505593,26,505.000
15.000593,27,500.000
15.505369,28,505.000
16.001735,29,501.000
16.505493,30,505.000
17.508944,32,508.000
18.017180,33,517.000
18.507783,34,507.000
19.003413,35,503.000
19.516038,36,516.000
