time_s,throughput_bps
2.500,65568000.000
3.000,82713600.000
3.500,124358400.000
4.000,159532800.000
4.500,221011200.000
5.000,294777600.000
5.500,293760000.000
6.000,295219200.000
6.500,323712000.000
7.000,324921600.000
7.500,361056000.000
8.000,388512000.000
8.500,381696000.000
9.000,395692800.000
9.500,394656000.000
10.000,394617600.000
10.500,394310400.000
11.000,394080000.000
11.500,394483200.000
12.000,395097600.000
12.500,395750400.000
13.000,395500800.000
13.500,394233600.000
14.000,395731200.000
14.500,395232000.000
15.000,393849600.000
15.500,395462400.000
16.000,394790400.000
16.500,394598400.000
17.000,394464000.000
17.500,396134400.000
18.000,395923200.000
18.500,394041600.000
19.000,395308800.000
19.500,395289600.000
20.000,395155200.000
