time_s,throughput_bps
2.500,195916800.000
3.000,205228800.000
3.500,203328000.000
4.000,204192000.000
4.500,203385600.000
5.000,204902400.000
5.500,204768000.000
6.000,204672000.000
6.500,204825600.000
7.000,200928000.000
7.500,206745600.000
8.000,207072000.000
8.500,207628800.000
9.000,207206400.000
9.500,207206400.000
10.000,207206400.000
10.500,207456000.000
11.000,206822400.000
11.500,206476800.000
12.000,206918400.000
12.500,207225600.000
13.000,207091200.000
13.500,206995200.000
14.000,207091200.000
14.500,207187200.000
15.000,206841600.000
15.500,206937600.000
16.000,206649600.000
16.500,207475200.000
17.000,206649600.000
17.500,207264000.000
18.000,207436800.000
18.500,206995200.000
19.000,207014400.000
19.500,207187200.000
20.000,206707200.000
