time_s,seq,rtt_ms
1.018917,0,18.000
1.500209,1,0.000
2.000212,2,0.000
2.569690,3,69.000
3.073794,4,73.000
3.572953,5,72.000
4.077920,6,77.000
4.576926,7,76.000
5.070825,8,70.000
5.581475,9,81.000
6.068963,10,68.000
6.590320,11,90.000
7.071557,12,71.000
7.576336,13,76.000
8.070073,14,70.000
8.574275,15,74.000
9.073380,16,73.000
9.583292,17,83.000
10.071275,18,71.000
10.576044,19,76.000
11.074904,20,74.000
11.573581,21,73.000
12.078621,22,78.000
12.571620,23,71.000
13.070581,24,70.000
13.569579,25,69.000
14.068387,26,68.000
14.573264,27,73.000
15.072070,28,72.000
15.570878,29,70.000
16.075782,30,75.000
16.575083,31,75.000
17.074041,32,74.000
17.572911,33,72.000
18.071134,34,71.000
18.569873,35,69.000
19.080106,36,80.000
19.585267,37,85.000
