time_s,throughput_bps
2.500,3379200.000
3.000,12364800.000
3.500,35750400.000
4.000,52262400.000
4.500,50668800.000
5.000,52569600.000
5.500,50707200.000
6.000,53222400.000
6.500,50880000.000
7.000,52588800.000
7.500,52147200.000
8.000,52012800.000
8.500,52531200.000
9.000,50803200.000
9.500,53299200.000
10.000,51494400.000
10.500,52934400.000
11.000,51667200.000
11.500,51782400.000
12.000,51264000.000
12.500,51628800.000
13.000,50323200.000
13.500,52800000.000
14.000,51417600.000
14.500,53625600.000
15.000,51744000.000
15.500,52089600.000
16.000,51744000.000
16.500,51763200.000
17.000,51590400.000
17.500,52012800.000
18.000,51782400.000
18.500,51801600.000
19.000,51379200.000
19.500,50496000.000
20.000,52128000.000
