time_s,throughput_bps
2.500,129427200.000
3.000,129638400.000
3.500,129811200.000
4.000,129849600.000
4.500,129523200.000
5.000,129715200.000
5.500,129811200.000
6.000,129657600.000
6.500,129638400.000
7.000,129600000.000
7.500,129561600.000
8.000,129580800.000
8.500,129561600.000
9.000,129561600.000
9.500,128755200.000
10.000,129561600.000
10.500,129945600.000
11.000,128716800.000
11.500,129676800.000
12.000,129657600.000
12.500,129772800.000
13.000,129811200.000
13.500,128563200.000
14.000,128716800.000
14.500,129600000.000
15.000,129734400.000
15.500,129734400.000
16.000,129715200.000
16.500,129811200.000
17.000,129811200.000
17.500,129696000.000
18.000,129772800.000
18.500,129676800.000
19.000,129580800.000
19.500,129830400.000
20.000,129696000.000
