time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,6.4128,400800
3,6.5856,812400
3.5,6.5088,1219200
4,6.5664,1629600
4.5,6.4896,2035200
5,6.6432,2450400
5.5,6.5856,2862000
6,6.4704,3266400
6.5,6.624,3680400
7,6.5472,4089600
7.5,6.5664,4500000
8,6.7008,4918800
8.5,6.6432,5334000
9,6.5664,5744400
9.5,6.6048,6157200
10,6.5664,6567600
10.5,6.5856,6979200
11,6.624,7393200
11.5,6.5856,7804800
12,6.6816,8222400
12.5,6.5856,8634000
13,6.6048,9046800
13.5,6.6432,9462000
14,6.6048,9874800
14.5,6.6624,10291200
15,6.6048,10704000
15.5,6.5856,11115600
16,6.528,11523600
16.5,6.6432,11938800
17,6.5856,12350400
17.5,6.5664,12760800
18,6.624,13174800
18.5,6.5856,13586400
19,6.528,13994400
19.5,6.5472,14403600
