time_s,seq,rtt_ms
2.03263,0,32
2.31001,1,110
2.54655,2,146
2.74914,3,149
2.95022,4,150
3.14458,5,144
3.34392,6,143
3.55171,7,151
3.74988,8,149
3.95013,9,150
4.15079,10,150
4.34915,11,149
4.54807,12,148
4.75181,13,151
4.94776,14,147
5.14576,15,145
5.34843,16,148
5.54573,17,145
5.74946,18,149
5.946,19,146
6.1497,20,149
6.35308,21,153
6.54901,22,149
6.74876,23,148
6.94655,24,146
7.14741,25,147
7.34839,26,148
7.54869,27,148
7.74977,28,149
7.94518,29,145
8.14966,30,149
8.3452,31,145
8.54651,32,146
8.75241,33,152
8.94681,34,146
9.14939,35,149
9.34393,36,143
9.54541,37,145
9.74601,38,146
9.94966,39,149
10.1481,40,148
10.3498,41,149
10.5479,42,147
10.7476,43,147
10.9488,44,148
11.1534,45,153
11.3495,46,149
11.5459,47,145
11.7491,48,149
11.9453,49,145
12.1469,50,146
12.3463,51,146
12.5492,52,149
12.7467,53,146
12.9485,54,148
13.1477,55,147
13.3485,56,148
13.5453,57,145
13.7478,58,147
13.9494,59,149
14.1452,60,145
14.3451,61,145
14.5475,62,147
14.7502,63,150
14.9466,64,146
15.1455,65,145
15.3497,66,149
15.5542,67,154
15.7555,68,155
15.9448,69,144
16.1474,70,147
16.3491,71,149
16.5496,72,149
16.744,73,144
16.9471,74,147
17.1475,75,147
17.3462,76,146
17.5443,77,144
17.7478,78,147
17.9468,79,146
18.1439,80,143
18.3493,81,149
18.5475,82,147
18.752,83,151
18.9458,84,145
19.1464,85,146
19.3482,86,148
19.5494,87,149
19.7488,88,148
19.9466,89,146
