time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,6.3744,398400
3,6.5664,808800
3.5,6.6432,1224000
4,6.6624,1640400
4.5,6.6624,2056800
5,6.5664,2467200
5.5,6.5664,2877600
6,6.624,3291600
6.5,6.528,3699600
7,6.5664,4110000
7.5,6.624,4524000
8,6.5664,4934400
8.5,6.6048,5347200
9,6.5856,5758800
9.5,6.5088,6165600
10,6.5664,6576000
10.5,6.5664,6986400
11,6.5856,7398000
11.5,6.6432,7813200
12,6.5088,8220000
12.5,6.6816,8637600
13,6.5856,9049200
13.5,6.624,9463200
14,6.6432,9878400
14.5,6.624,10292400
15,6.528,10700400
15.5,6.6048,11113200
16,6.5088,11520000
16.5,6.6048,11932800
17,6.5664,12343200
17.5,6.624,12757200
18,6.6048,13170000
18.5,6.5664,13580400
19,6.5856,13992000
19.5,6.5856,14403600
