time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,6.4128,400800
3,6.5472,810000
3.5,6.6432,1225200
4,6.6816,1642800
4.5,6.6432,2058000
5,6.5664,2468400
5.5,6.5664,2878800
6,6.6624,3295200
6.5,6.528,3703200
7,6.5664,4113600
7.5,6.6048,4526400
8,6.528,4934400
8.5,6.5664,5344800
9,6.6048,5757600
9.5,6.5088,6164400
10,6.528,6572400
10.5,6.6048,6985200
11,6.5088,7392000
11.5,6.6624,7808400
12,6.4704,8212800
12.5,6.624,8626800
13,6.5664,9037200
13.5,6.6048,9450000
14,6.6432,9865200
14.5,6.6048,10278000
15,6.5664,10688400
15.5,6.624,11102400
16,6.528,11510400
16.5,6.5664,11920800
17,6.5856,12332400
17.5,6.624,12746400
18,6.6432,13161600
18.5,6.5472,13570800
19,6.624,13984800
19.5,6.5856,14396400
