time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,6.4704,404400
3,6.5472,813600
3.5,6.6048,1226400
4,6.5664,1636800
4.5,6.72,2056800
5,6.5856,2468400
5.5,6.6432,2883600
6,6.5088,3290400
6.5,6.6816,3708000
7,6.5664,4118400
7.5,6.5856,4530000
8,6.5472,4939200
8.5,6.6816,5356800
9,6.5664,5767200
9.5,6.5856,6178800
10,6.6048,6591600
10.5,6.624,7005600
11,6.624,7419600
11.5,6.6432,7834800
12,6.7008,8253600
12.5,6.624,8667600
13,6.5856,9079200
13.5,6.6432,9494400
14,6.6048,9907200
14.5,6.5664,10317600
15,6.6048,10730400
15.5,6.5664,11140800
16,6.6816,11558400
16.5,6.5472,11967600
17,6.6624,12384000
17.5,6.5664,12794400
18,6.5856,13206000
18.5,6.5856,13617600
19,6.624,14031600
19.5,6.5856,14443200
