time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,2.16973,135608
3,2.22976,274968
3.5,0.849024,328032
4,2.9673,513488
4.5,2.22976,652848
5,2.23834,792744
5.5,2.24691,933176
6,2.24691,1073608
6.5,2.24691,1214040
7,2.25549,1355008
7.5,2.24691,1495440
8,2.22976,1634800
8.5,2.29837,1778448
9,2.24691,1918880
9.5,2.27264,2060920
10,2.25549,2201888
10.5,2.25549,2342856
11,2.26406,2484360
11.5,2.25549,2625328
12,1.37216,2711088
12.5,1.82669,2825256
13,2.83866,3002672
13.5,2.26406,3144176
14,2.22118,3283000
14.5,2.23834,3422896
15,2.26406,3564400
15.5,2.27264,3706440
16,2.24691,3846872
16.5,2.23834,3986768
17,2.22976,4126128
17.5,2.28122,4268704
18,2.24691,4409136
18.5,2.25549,4550104
19,2.25549,4691072
19.5,2.25549,4832040
