time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,2.15258,134536
3,2.23834,274432
3.5,0.866176,328568
4,0.240128,343576
4.5,2.09536,474536
5,2.20403,612288
5.5,2.22118,751112
6,2.24691,891544
6.5,2.27264,1033584
7,2.23834,1173480
7.5,2.26406,1314984
8,2.24691,1455416
8.5,2.1783,1591560
9,2.10112,1722880
9.5,2.26406,1864384
10,2.27264,2006424
10.5,2.22976,2145784
11,2.20403,2283536
11.5,2.24691,2423968
12,2.24691,2564400
12.5,2.26406,2705904
13,2.22118,2844728
13.5,2.24691,2985160
14,2.25549,3126128
14.5,2.26406,3267632
15,2.23834,3407528
15.5,2.23834,3547424
16,2.23834,3687320
16.5,2.26406,3828824
17,2.27264,3970864
17.5,1.05485,4036792
18,2.71002,4206168
18.5,2.26406,4347672
19,2.22976,4487032
19.5,2.23834,4626928
