time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,2.144,134000
3,2.23834,273896
3.5,0.960512,333928
4,0.248704,349472
4.5,2.09702,480536
5,2.16115,615608
5.5,2.28122,758184
6,2.26406,899688
6.5,2.23834,1039584
7,2.26406,1181088
7.5,2.23834,1320984
8,2.23834,1460880
8.5,2.23834,1600776
9,2.26406,1742280
9.5,2.25549,1883248
10,2.24691,2023680
10.5,2.27264,2165720
11,2.22976,2305080
11.5,2.27264,2447120
12,2.23834,2587016
12.5,2.23834,2726912
13,0.977664,2788016
13.5,2.86438,2967040
14,2.24691,3107472
14.5,2.28122,3250048
15,2.23834,3389944
15.5,2.25549,3530912
16,2.22976,3670272
16.5,2.23834,3810168
17,2.22976,3949528
17.5,2.25549,4090496
18,2.25549,4231464
18.5,2.26406,4372968
19,2.21261,4511256
19.5,2.26406,4652760
