time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,2.16115,135072
3,2.25549,276040
3.5,0.849024,329104
4,2.94157,512952
4.5,2.22976,652312
5,2.24691,792744
5.5,2.24691,933176
6,2.21261,1071464
6.5,2.26406,1212968
7,2.25549,1353936
7.5,2.28122,1496512
8,2.22118,1635336
8.5,2.24691,1775768
9,2.24691,1916200
9.5,2.26406,2057704
10,2.23834,2197600
10.5,2.24691,2338032
11,2.22976,2477392
11.5,2.25549,2618360
12,1.49222,2711624
12.5,1.80954,2824720
13,2.77005,2997848
13.5,2.22976,3137208
14,2.22976,3276568
14.5,2.27264,3418608
15,2.25549,3559576
15.5,2.25549,3700544
16,2.24691,3840976
16.5,2.23834,3980872
17,2.24691,4121304
17.5,2.24691,4261736
18,2.23834,4401632
18.5,2.27264,4543672
19,2.25549,4684640
19.5,2.25549,4825608
