time_s,throughput_bps
2.500,27360000.000
3.000,27321600.000
3.500,27321600.000
4.000,27340800.000
4.500,27340800.000
5.000,27321600.000
5.500,27340800.000
6.000,27360000.000
6.500,27360000.000
7.000,27321600.000
7.500,27321600.000
8.000,27340800.000
8.500,27302400.000
9.000,27360000.000
9.500,27283200.000
10.000,27321600.000
10.500,26995200.000
11.000,27360000.000
11.500,27340800.000
12.000,27321600.000
12.500,27302400.000
13.000,27321600.000
13.500,27052800.000
14.000,27340800.000
14.500,27302400.000
15.000,27340800.000
15.500,27340800.000
16.000,27014400.000
16.500,27340800.000
17.000,27321600.000
17.500,27321600.000
18.000,27360000.000
18.500,27340800.000
19.000,27360000.000
19.500,27360000.000
20.000,27360000.000
