time_s,throughput_bps
2.500,256435200.000
3.000,256012800.000
3.500,255532800.000
4.000,255571200.000
4.500,255494400.000
5.000,255744000.000
5.500,255628800.000
6.000,255552000.000
6.500,255763200.000
7.000,255283200.000
7.500,256051200.000
8.000,255782400.000
8.500,255552000.000
9.000,256166400.000
9.500,254707200.000
10.000,256128000.000
10.500,255072000.000
11.000,256051200.000
11.500,256320000.000
12.000,255936000.000
12.500,255782400.000
13.000,254707200.000
13.500,256051200.000
14.000,255840000.000
14.500,255436800.000
15.000,255148800.000
15.500,255763200.000
16.000,256204800.000
16.500,255686400.000
17.000,256089600.000
17.500,255974400.000
18.000,255686400.000
18.500,255974400.000
19.000,255667200.000
19.500,256204800.000
20.000,255744000.000
