time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,2.144,134000
3,2.23834,273896
3.5,0.874752,328568
4,2.93299,511880
4.5,2.24691,652312
5,2.28122,794888
5.5,2.27264,936928
6,2.24691,1077360
6.5,2.24691,1217792
7,2.25549,1358760
7.5,2.26406,1500264
8,2.24691,1640696
8.5,2.25549,1781664
9,2.25549,1922632
9.5,2.23834,2062528
10,2.23834,2202424
10.5,2.24691,2342856
11,2.22976,2482216
11.5,2.26406,2623720
12,1.37216,2709480
12.5,2.46989,2863848
13,2.22118,3002672
13.5,2.25549,3143640
14,2.27264,3285680
14.5,2.25549,3426648
15,2.26406,3568152
15.5,2.23834,3708048
16,2.22118,3846872
16.5,2.22976,3986232
17,2.24691,4126664
17.5,2.27264,4268704
18,2.25549,4409672
18.5,2.23834,4549568
19,2.25549,4690536
19.5,2.25549,4831504
