time_s,seq,rtt_ms
2.02358,0,23
2.37574,1,175
2.57977,2,179
2.79014,3,190
2.99626,4,196
3.2276,5,227
3.44393,6,243
3.61175,7,211
3.78895,8,188
3.89198,9,91
4.00214,10,2
4.20283,11,2
4.40213,12,2
4.68792,13,87
4.91295,14,112
5.11631,15,116
5.31474,16,114
5.51909,17,119
5.71727,18,117
5.92113,19,121
6.12746,20,127
6.31025,21,110
6.54532,22,145
6.68992,23,89
6.89738,24,97
7.10451,25,104
7.3048,26,104
7.5089,27,108
7.71531,28,115
7.91826,29,118
8.11947,30,119
8.60676,33,6
8.80309,34,3
9.01292,35,12
9.2025,36,2
9.42245,37,22
9.63041,38,30
9.83661,39,36
10.0424,40,42
10.2497,41,49
10.4355,42,35
10.6407,43,40
10.8455,44,45
11.0523,45,52
11.2508,46,50
11.4577,47,57
11.6592,48,59
11.8638,49,63
12.0681,50,68
12.2739,51,73
12.4704,52,70
12.6775,53,77
12.8754,54,75
13.0847,55,84
13.2814,56,81
13.4896,57,89
13.6875,58,87
13.8921,59,92
14.0894,60,89
14.2965,61,96
14.4978,62,97
14.6967,63,96
14.9059,64,105
15.1035,65,103
15.3044,66,104
15.5062,67,106
15.7059,68,105
15.91,69,110
16.1145,70,114
16.3146,71,114
16.5151,72,115
16.7151,73,115
16.916,74,116
17.121,75,121
17.3237,76,123
17.5169,77,116
17.7283,78,128
17.9333,79,133
18.1385,80,138
18.3544,81,154
18.571,82,171
18.7829,83,182
18.9958,84,195
19.1931,85,193
19.4284,86,228
19.6437,87,243
19.8357,88,235
19.9968,89,196
