time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,2.16115,135072
3,2.25549,276040
3.5,1.45792,367160
4,2.40128,517240
4.5,2.24691,657672
5,2.24691,798104
5.5,2.12685,931032
6,2.22976,1070392
6.5,2.25549,1211360
7,2.26406,1352864
7.5,2.28979,1495976
8,2.22976,1635336
8.5,1.62086,1736640
9,2.49562,1892616
9.5,2.24691,2033048
10,2.26406,2174552
10.5,2.25549,2315520
11,2.23834,2455416
11.5,2.22976,2594776
12,2.26406,2736280
12.5,2.23834,2876176
13,2.28122,3018752
13.5,2.24691,3159184
14,2.29837,3302832
14.5,2.23834,3442728
15,2.26406,3584232
15.5,2.24691,3724664
16,2.22118,3863488
16.5,2.25549,4004456
17,2.25549,4145424
17.5,1.30355,4226896
18,2.42701,4378584
18.5,2.24691,4519016
19,2.21261,4657304
19.5,2.26406,4798808
