time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,2.16973,135608
3,2.27264,277648
3.5,0.883328,332856
4,2.86438,511880
4.5,2.20403,649632
5,2.27264,791672
5.5,2.27264,933712
6,2.21261,1072000
6.5,2.25549,1212968
7,2.22976,1352328
7.5,2.28122,1494904
8,2.24691,1635336
8.5,2.22976,1774696
9,2.22118,1913520
9.5,2.27264,2055560
10,1.70662,2162224
10.5,2.58138,2323560
11,2.24691,2463992
11.5,2.23834,2603888
12,2.21261,2742176
12.5,2.24691,2882608
13,2.23834,3022504
13.5,2.24691,3162936
14,2.26406,3304440
14.5,2.23834,3444336
15,2.24691,3584768
15.5,2.26406,3726272
16,2.26406,3867776
16.5,2.25549,4008744
17,2.25549,4149712
17.5,2.26406,4291216
18,2.24691,4431648
18.5,2.20403,4569400
19,0.797568,4619248
19.5,2.95014,4803632
