time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,2.16973,135608
3,2.23834,275504
3.5,1.48365,368232
4,1.83526,482936
4.5,2.71002,652312
5,2.24691,792744
5.5,2.24691,933176
6,2.24691,1073608
6.5,2.24691,1214040
7,2.25549,1355008
7.5,2.24691,1495440
8,2.22976,1634800
8.5,2.29837,1778448
9,2.23834,1918344
9.5,2.28122,2060920
10,2.25549,2201888
10.5,2.25549,2342856
11,2.26406,2484360
11.5,2.26406,2625864
12,2.21261,2764152
12.5,0.977664,2825256
13,2.7872,2999456
13.5,2.26406,3140960
14,2.22976,3280320
14.5,2.22976,3419680
15,2.25549,3560648
15.5,2.27264,3702688
16,2.25549,3843656
16.5,1.7495,3953000
17,2.56422,4113264
17.5,2.26406,4254768
18,2.24691,4395200
18.5,2.26406,4536704
19,2.26406,4678208
19.5,2.27264,4820248
