time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,2.144,134000
3,2.24691,274432
3.5,0.883328,329640
4,0.248704,345184
4.5,2.08883,475736
5,2.16115,610808
5.5,2.22976,750168
6,2.24691,890600
6.5,1.57798,989224
7,2.7529,1161280
7.5,2.26406,1302784
8,2.23834,1442680
8.5,1.38931,1529512
9,0,1529512
9.5,0.891904,1585256
10,2.22118,1724080
10.5,2.19546,1861296
11,2.22976,2000656
11.5,2.24691,2141088
12,2.23834,2280984
12.5,2.20403,2418736
13,2.24691,2559168
13.5,2.25549,2700136
14,2.27264,2842176
14.5,2.22976,2981536
15,2.22976,3120896
15.5,2.24691,3261328
16,2.24691,3401760
16.5,2.26406,3543264
17,2.25549,3684232
17.5,2.26406,3825736
18,2.22118,3964560
18.5,2.23834,4104456
19,2.18688,4241136
19.5,1.20064,4316176
