time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,2.06682,129176
3,2.15258,263712
3.5,2.21261,402000
4,2.09254,532784
4.5,2.28979,675896
5,2.28122,818472
5.5,1.85242,934248
6,0,934248
6.5,2.18534,1070832
7,1.88672,1188752
7.5,1.94675,1310424
8,2.09254,1441208
8.5,0.617472,1479800
9,0,1479800
9.5,0.437376,1507136
10,1.97248,1630416
10.5,2.10112,1761736
11,2.01536,1887696
11.5,2.33267,2033488
12,2.19546,2170704
12.5,2.21261,2308992
13,2.26406,2450496
13.5,2.25549,2591464
14,2.28122,2734040
14.5,2.26406,2875544
15,2.23834,3015440
15.5,2.28122,3158016
16,0.617472,3196608
16.5,0,3196608
17,1.43219,3286120
17.5,2.16115,3421192
18,2.26406,3562696
18.5,2.24691,3703128
19,2.22118,3841952
19.5,2.22976,3981312
