time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,0,0
3,0,0
3.5,0,0
4,0,0
4.5,2.1097,131856
5,0.094336,137752
5.5,0.454528,166160
6,0,166160
6.5,2.94144,350000
7,1.40646,437904
7.5,1.84384,553144
8,2.7872,727344
8.5,1.70662,834008
9,2.50419,990520
9.5,2.22118,1129344
10,2.23834,1269240
10.5,2.28979,1412352
11,2.23834,1552248
11.5,2.02394,1678744
12,0.137216,1687320
12.5,0,1687320
13,1.55226,1784336
13.5,2.23834,1924232
14,2.24691,2064664
14.5,2.22976,2204024
15,2.25549,2344992
15.5,2.22976,2484352
16,2.25549,2625320
16.5,1.27782,2705184
17,0.008576,2705720
17.5,0,2705720
18,2.6071,2868664
18.5,2.25549,3009632
19,2.27264,3151672
19.5,1.69805,3257800
