time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,0.377344,23584
3,0,23584
3.5,1.05485,89512
4,2.144,223512
4.5,0.4288,250312
5,0,250312
5.5,0.205824,263176
6,0,263176
6.5,0.68608,306056
7,2.24691,446488
7.5,2.24691,586920
8,2.24691,727352
8.5,0.849024,780416
9,0,780416
9.5,1.19206,854920
10,2.25549,995888
10.5,2.21261,1134176
11,2.25549,1275144
11.5,2.26406,1416648
12,2.28122,1559224
12.5,2.15258,1693760
13,2.24691,1834192
13.5,2.26406,1975696
14,2.25549,2116664
14.5,2.13542,2250128
15,2.16973,2385736
15.5,2.23834,2525632
16,2.25549,2666600
16.5,2.03251,2793632
17,0.377344,2817216
17.5,0,2817216
18,0.694656,2860632
18.5,2.25549,3001600
19,2.16115,3136672
19.5,2.22976,3276032
