time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,0,0
3,0,0
3.5,2.03251,127032
4,0.111488,134000
4.5,2.79898,308936
5,0,308936
5.5,0.987136,370632
6,0.637184,410456
6.5,0,410456
7,0.08576,415816
7.5,0,415816
8,2.64077,580864
8.5,1.01197,644112
9,0,644112
9.5,0,644112
10,0,644112
10.5,0,644112
11,0,644112
11.5,0.394496,668768
12,2.25549,809736
12.5,1.66374,913720
13,0,913720
13.5,0.60032,951240
14,2.28122,1093816
14.5,2.23834,1233712
15,2.27264,1375752
15.5,2.22976,1515112
16,2.24691,1655544
16.5,2.12685,1788472
17,2.25549,1929440
17.5,1.94675,2051112
18,0.351616,2073088
18.5,1.2521,2151344
19,2.31552,2296064
19.5,2.22118,2434888
