time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,1.67232,104520
3,2.04966,232624
3.5,2.23834,372520
4,2.24691,512952
4.5,0.77184,561192
5,2.11827,693584
5.5,2.18688,830264
6,2.27264,972304
6.5,1.94675,1093976
7,2.46989,1248344
7.5,0.763264,1296048
8,0,1296048
8.5,0.591744,1333032
9,2.20403,1470784
9.5,0.780416,1519560
10,0,1519560
10.5,0.72896,1565120
11,2.23834,1705016
11.5,2.16973,1840624
12,2.11827,1973016
12.5,2.18688,2109696
13,2.22118,2248520
13.5,0.720384,2293544
14,0,2293544
14.5,0,2293544
15,0,2293544
15.5,0,2293544
16,0,2293544
16.5,0.891904,2349288
17,1.93818,2470424
17.5,0.154368,2480072
18,0,2480072
18.5,2.08742,2610536
19,0,2610536
19.5,1.12346,2680752
