time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,6.3936,399600
3,6.6048,812400
3.5,6.5088,1219200
4,6.5664,1629600
4.5,6.5088,2036400
5,6.624,2450400
5.5,6.6048,2863200
6,6.4704,3267600
6.5,6.6048,3680400
7,6.5664,4090800
7.5,6.6048,4503600
8,6.6816,4921200
8.5,6.624,5335200
9,6.5664,5745600
9.5,6.6048,6158400
10,6.6624,6574800
10.5,6.6048,6987600
11,6.624,7401600
11.5,6.6048,7814400
12,6.6432,8229600
12.5,6.5664,8640000
13,6.624,9054000
13.5,6.528,9462000
14,1.3824,9548400
14.5,1.0752,9615600
15,5.4528,9956400
15.5,6.6624,10372800
16,6.6432,10788000
16.5,6.6816,11205600
17,6.528,11613600
17.5,6.72,12033600
18,6.528,12441600
18.5,6.5664,12852000
19,6.6624,13268400
19.5,6.6048,13681200
