time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,3.9936,249600
3,3.3024,456000
3.5,6.4128,856800
4,6.624,1270800
4.5,6.5856,1682400
5,6.6048,2095200
5.5,5.2608,2424000
6,5.0304,2738400
6.5,6.528,3146400
7,6.528,3554400
7.5,6.5856,3966000
8,6.624,4380000
8.5,6.5472,4789200
9,6.5856,5200800
9.5,6.5856,5612400
10,6.5472,6021600
10.5,6.5856,6433200
11,6.6432,6848400
11.5,6.6816,7266000
12,6.72,7686000
12.5,6.6432,8101200
13,6.6048,8514000
13.5,6.6624,8930400
14,6.5664,9340800
14.5,6.5856,9752400
15,6.5856,10164000
15.5,6.6048,10576800
16,6.624,10990800
16.5,6.6048,11403600
17,6.6048,11816400
17.5,6.7008,12235200
18,6.6816,12652800
18.5,6.5088,13059600
19,6.6624,13476000
19.5,6.5856,13887600
