time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,3.3792,211200
3,3.456,427200
3.5,5.7792,788400
4,6.6624,1204800
4.5,6.5856,1616400
5,6.6624,2032800
5.5,6.624,2446800
6,6.6048,2859600
6.5,6.528,3267600
7,6.6624,3684000
7.5,6.6048,4096800
8,6.5088,4503600
8.5,6.6048,4916400
9,6.7008,5335200
9.5,6.624,5749200
10,6.528,6157200
10.5,6.6624,6573600
11,6.5856,6985200
11.5,6.7584,7407600
12,6.528,7815600
12.5,6.6624,8232000
13,6.624,8646000
13.5,6.5856,9057600
14,6.5856,9469200
14.5,6.6624,9885600
15,6.5856,10297200
15.5,6.5856,10708800
16,6.5472,11118000
16.5,5.8176,11481600
17,5.3376,11815200
17.5,6.5856,12226800
18,6.6432,12642000
18.5,6.6048,13054800
19,6.6624,13471200
19.5,6.4896,13876800
