time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,6.3168,394800
3,6.5856,806400
3.5,6.7008,1225200
4,6.5472,1634400
4.5,6.5472,2043600
5,6.5472,2452800
5.5,6.624,2866800
6,6.6624,3283200
6.5,6.5088,3690000
7,6.5856,4101600
7.5,6.6048,4514400
8,6.6048,4927200
8.5,6.624,5341200
9,6.5664,5751600
9.5,6.7392,6172800
10,6.6432,6588000
10.5,6.6432,7003200
11,6.6432,7418400
11.5,6.5856,7830000
12,6.624,8244000
12.5,6.6432,8659200
13,6.5472,9068400
13.5,6.6624,9484800
14,6.5472,9894000
14.5,6.7008,10312800
15,6.5856,10724400
15.5,6.6816,11142000
16,6.624,11556000
16.5,6.624,11970000
17,6.6048,12382800
17.5,6.6816,12800400
18,6.5856,13212000
18.5,6.7008,13630800
19,6.5856,14042400
19.5,6.6432,14457600
